name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;359;0;336;3059;1020;3059;1088;0
header;185;105;185;135;1812;135;1812;105
A;985;173;985;199;1006;199;1006;173
B;1061;556;1061;574;1078;574;1078;556
B;985;841;985;868;1004;868;1004;841
B;951;1124;951;1142;965;1142;965;1124
B;949;1448;949;1467;964;1467;964;1448
C;979;1520;979;1547;998;1547;998;1520
B;441;1680;441;1699;457;1699;457;1680
D;978;2200;978;2228;1001;2228;1001;2200
A;982;2260;982;2260;983;2260;983;2260
A;841;2399;841;2418;848;2418;848;2399
B;577;2426;577;2452;597;2452;597;2426
